GrLivArea,TotalBsmtSF,YearBuilt
1344,1024,1958
860,840,1982
1314,1314,2007
1962,1391,2006
1490,788,2004
848,848,2004
672,672,1940
2340,1152,1941
1656,660,1916
1479,725,1972
1226,1226,2009
2087,832,1966
1158,1158,2004
1154,1154,1966
1724,880,1998
1658,773,1995
1126,0,1949
1393,816,1955
3447,728,1935
987,483,1973
1355,644,1940
2069,585,1960
1501,744,1999
1976,1976,2006
1563,1563,2007
1111,572,1926
1502,776,1931
1733,0,1955
2728,1848,2005
1302,630,1972
1524,1332,1979
1588,0,1959
1125,1125,2006
1200,600,2005
1640,798,2004
2127,1223,1994
972,972,1948
2020,1128,1995
1144,1144,1956
1352,1062,1958
1316,926,1929
1924,1086,1998
1164,1164,1950
952,952,1951
2358,684,1872
1680,880,1988
1912,482,1905
1004,1004,1970
1230,747,1946
1167,915,1920
1301,1145,1924
1453,1453,1986
1601,1581,2001
1588,1588,2006
1095,588,1958
1050,1050,1961
960,960,1965
1456,810,1948
1489,1489,1968
1726,1726,2007
2082,1362,2003
1339,1309,1990
2450,1284,1998
1863,879,2006
768,768,1972
334,0,1946
1136,1136,1965
1337,1237,1998
912,912,1964
1812,864,1962
2192,720,1939
1184,658,1910
1889,925,1910
1327,1063,1959
1422,1422,1981
1632,1632,1967
1630,1630,2000
1526,1013,1915
1040,0,1949
1647,806,1915
1981,1122,1928
1644,1416,1953
2574,1482,2007
1824,764,1919
1350,1248,1964
958,958,1976
1848,833,1923
1620,1281,1976
1167,1158,1992
1487,735,1945
892,892,1967
804,788,1940
1140,1140,2006
1796,780,1963
2030,848,1976
2007,1017,2008
691,691,1920
1590,768,2008
1855,994,1954
1804,994,1999
1768,884,2003
3627,1930,1995
1298,1298,1985
1801,1501,1959
630,630,1970
1103,1103,1925
1178,859,1900
1196,1196,1916
1372,1372,2007
1431,1099,1962
1422,1422,2004
1953,1580,1992
1121,1121,2003
2473,1143,2004
1057,1057,1962
1110,1097,1978
2270,1152,1999
2018,2002,2008
1386,672,1978
1953,1082,2005
1337,1337,1993
2285,969,2000
1718,1705,2007
1086,1024,1966
1555,1373,2007
1902,1902,1959
2514,1216,1990
1224,1086,1979
1054,1054,1969
2612,1225,1998
902,876,1967
2353,845,1980
1392,689,1977
1155,1109,1961
1904,1208,1950
1158,862,1929
1362,611,1920
2291,975,1999
1317,649,1920
1734,1734,2007
1194,1194,1959
1416,876,1915
1383,1383,1954
2002,1001,1949
1496,1496,2007
1604,984,1941
764,680,1925
1732,741,1985
1494,1494,2006
986,960,1926
1145,1145,2005
1484,742,1914
1344,819,1958
1539,650,1904
2504,1122,2005
747,600,1926
2097,1108,1998
4676,3138,2007
1176,698,1937
720,720,1920
1580,1580,2007
1440,1440,1977
1476,738,2005
1500,1500,2004
1348,884,1925
1200,864,1965
1394,1394,1963
1632,800,1966
912,912,1967
2624,1370,1918
1696,1140,1962
1230,440,1910
2727,853,1932
1456,728,2006
864,864,1970
1709,970,2004
1665,810,2001
2646,1347,1993
1640,798,2003
1699,978,1900
1663,1364,1954
1728,1728,1963
1845,1055,1992
1851,822,1964
1489,1489,2006
864,864,1959
1256,1256,1965
816,816,1982
1820,864,1965
2127,1104,1991
1065,1065,1960
1200,1200,1923
1208,1187,2006
2482,1094,2005
1720,1720,1996
840,672,1930
1294,1278,1991
1090,1090,2005
2263,1141,1998
969,969,1975
894,894,1935
1028,1008,1927
1958,979,1946
1795,1795,2006
1940,1930,2009
1178,1176,1973
1482,672,1925
1428,1417,2008
864,864,1972
1111,616,1941
1470,680,1993
1116,1116,1962
864,864,1959
1297,1297,1954
1113,1113,1950
1501,1490,1999
1547,756,2009
1947,991,2004
1717,1709,2006
1052,1010,1971
2013,1117,1996
1266,1266,2007
2868,1992,2005
2256,952,2000
1414,1414,2004
1721,928,1994
1552,713,1975
1128,698,1920
1118,1096,1977
1728,1728,1976
2448,1629,1994
1473,1437,1968
1717,1156,1990
1166,856,2005
1370,1370,2006
1724,1680,1967
1709,970,2004
987,483,1971
1802,793,1920
2345,952,1932
1068,1059,1963
1617,1604,1993
1244,1244,1957
1180,700,1922
1223,600,2005
1686,1686,1980
1646,1638,2007
1144,864,1961
1797,939,2006
1224,0,1962
1865,992,2000
1056,1056,1958
3140,1926,2008
1212,506,1977
1694,1686,2004
1511,802,1997
1057,1057,1953
2290,777,1885
2183,1204,1988
3222,1673,1990
1716,880,1996
1342,1372,1967
1504,1346,2005
1992,1053,2003
1252,600,1999
999,999,1962
1363,622,1910
1165,1127,1966
1668,1626,2002
2376,1158,2005
1440,540,1900
1470,794,1997
1541,1541,2005
1440,1440,1955
1146,868,2003
1494,1494,1995
2224,1462,2004
1343,731,1921
2452,1028,1998
1977,816,1964
1767,1064,1987
1324,1324,2006
1458,912,1948
1314,1314,2006
1575,1575,1992
1620,1620,2007
1788,1104,1957
913,814,1966
2073,1542,1978
1441,776,1999
1690,815,1916
1437,1188,1956
2156,1568,1968
864,864,1925
1112,536,1976
2243,700,1990
1328,686,1925
968,656,1927
1396,698,1915
1856,1856,2010
2161,1582,2007
1602,1602,1977
1302,630,1971
1509,783,2002
912,912,1962
1664,1004,1947
1694,1181,1925
747,747,1945
1040,0,1950
1660,831,2002
1691,1026,1924
864,864,1950
752,744,1984
1792,963,2001
1626,764,2003
1484,1476,2006
3493,1470,1880
1652,1652,2006
1276,1276,1958
1668,856,1950
1192,720,1949
884,840,1983
2062,1157,1988
827,0,1955
2019,728,1910
1304,264,1976
1368,684,1910
1605,840,1915
2020,2006,2009
1250,625,2006
1624,1624,1994
845,845,1982
1389,1389,1974
968,968,1923
1092,546,1970
848,848,2003
1269,1269,1960
1092,1092,1962
2263,795,1977
952,952,1956
1452,736,1920
1039,1039,1965
1204,1204,1998
1117,1029,1976
2196,2158,1990
985,985,1977
1629,3206,2003
1477,861,1928
980,980,1977
2295,1095,1992
1502,602,1923
2201,697,1966
2078,1034,2007
800,264,1936
1578,1573,2008
1932,1932,2008
1507,1075,1960
900,882,1967
1718,1700,2006
1750,636,1880
2398,1379,1996
1968,774,2009
1536,1536,2002
864,864,1914
3228,3200,1992
2149,1434,2003
2640,1240,1880
1682,1304,1970
2098,1030,2005
864,864,1965
1968,784,1969
1097,1040,1984
1196,684,1920
1920,1052,1958
1728,1728,1965
2031,1128,2002
1196,1196,1956
803,720,1941
1620,780,1969
2097,2077,2005
1869,1869,2007
1886,930,1998
480,480,1949
1296,0,1967
816,816,1938
1601,1271,1978
1792,936,2000
2520,1338,1993
1144,1144,1959
2601,612,1921
1577,972,1939
970,970,1963
2036,2136,1965
1026,1026,1969
698,698,1947
1533,1533,1975
1382,720,1941
1391,1391,2004
1078,1078,1950
1296,1267,2001
1442,1442,1958
1964,940,1911
1502,1502,2009
1392,1392,1957
1768,1768,1968
1582,1624,1964
958,958,1960
894,894,1972
1224,1224,1999
2332,1682,2007
1269,1256,2004
1776,1732,2006
1456,728,2005
1194,655,1959
1008,1008,1953
1555,1373,2005
1784,747,1914
1108,637,1930
1394,384,2006
1714,980,1988
882,0,1959
1306,728,1940
1217,626,1980
990,990,1994
2452,1117,2004
848,848,2003
1369,672,1925
1218,1218,2009
2555,588,1922
1247,1247,2005
2872,1330,1977
1652,1600,2008
1844,1844,1977
1971,1113,2005
1800,982,2000
1949,1050,1993
630,630,1972
1494,1494,2002
968,600,1910
1274,1274,2005
1520,1156,1955
1285,660,1977
1509,783,2003
1935,793,1976
816,816,1990
1200,1176,2003
1470,941,1954
1656,1080,1960
792,768,1924
1694,1694,2007
1800,1800,2002
2337,662,1900
1846,1040,1949
1026,940,1978
904,876,1966
1126,1126,1977
2468,1136,2004
988,938,1969
1052,1052,1968
1096,572,1924
1141,1141,2005
1790,732,1972
1852,1004,1999
754,520,1935
1344,624,1916
2207,1947,1970
2358,907,1908
2715,1142,1976
1364,1364,2005
1253,1237,1995
1328,1328,1963
1422,978,1960
1986,768,1965
952,952,1916
1660,1660,2006
2234,2216,2008
790,768,1930
1340,1340,2007
1610,1610,1977
2620,1361,1977
1248,1248,2005
912,912,1961
1638,943,1998
1622,1249,1961
2320,1028,1945
1144,1144,1961
1520,793,1932
1516,1516,1964
1498,1498,2006
1961,804,2001
1456,728,2006
2403,1032,1940
1944,1896,2003
1368,1368,2005
1790,873,1999
2713,1452,2008
1271,720,1948
1872,1845,1988
2090,1190,1984
1796,794,1998
1302,1302,2007
2524,2524,1981
1374,840,1920
1626,764,2003
1034,735,1940
1518,1518,2003
1818,1040,1931
1661,1649,1998
1991,854,1932
1482,650,1920
1742,1742,1985
1250,686,1918
1176,816,1934
1915,908,1992
1595,940,1940
1661,992,1955
1935,832,2009
1795,1777,2002
1928,847,2003
1159,1051,1968
1456,855,1978
1954,798,1939
2028,1868,2005
2898,1565,1976
1674,814,2000
974,974,1991
1989,1065,2002
2097,1080,1993
1442,1424,1990
1130,1120,1920
1820,1026,1925
2119,689,1972
2576,1234,2006
1020,780,1875
1774,1095,1900
904,683,1922
1382,673,2000
3608,1107,1892
2210,1008,1880
1572,806,1995
1824,1643,1971
1056,1056,1968
1221,784,1924
1362,1362,1961
848,848,2004
1434,1454,2001
1208,1208,2007
1466,796,1936
1987,1986,1994
2418,1311,1993
1314,1314,2007
1709,970,2004
1218,672,1971
3395,1440,1914
1200,1200,1987
912,912,1958
4316,2444,1994
1710,856,2003
2374,1181,2003
1564,704,1941
1466,1466,1959
1383,1383,1960
1535,0,1979
990,990,1995
1646,918,1941
1928,1020,1910
1725,539,1979
2872,1683,1992
2112,952,1969
1324,672,1936
1200,600,2005
1344,672,1920
1668,840,2003
1040,0,1950
900,900,1951
1559,1559,1948
948,864,1954
923,923,1980
1552,1552,2005
1717,756,1915
1721,1461,1968
987,483,1973
1200,1200,1995
1716,768,1949
894,894,1965
1771,0,1960
1173,1053,1974
1287,1063,1959
1382,1051,1963
2520,1203,1995
1215,1215,1958
2526,1165,1994
1200,600,2004
1728,1728,1976
1710,576,1921
2392,1396,1997
1744,996,1993
1665,813,2007
2696,1264,2007
864,864,1971
672,672,1941
1320,1164,1966
958,1078,1976
1710,1710,2004
1265,1219,1965
1456,1273,2003
1539,927,1936
1959,1907,1988
1522,1008,1926
1124,0,1954
2090,1107,1973
1214,1214,1965
1779,1763,1955
1629,1616,2002
1554,1554,2006
2236,964,1997
796,796,1922
1680,840,1915
848,848,2003
1142,1142,1976
1252,1602,1960
1684,1684,2005
2000,2000,2004
1616,1616,2005
1872,1299,2001
1576,1042,1928
1982,807,1989
988,876,1950
1844,1844,2005
1258,1258,1971
1288,1260,1996
1634,1626,2006
1322,855,1974
1414,707,2004
1504,1504,1996
1670,1670,2006
2167,1192,1974
1069,1069,1977
1072,547,2005
1572,1572,1963
1869,1088,1890
882,882,1956
1922,1922,2005
780,780,1972
1601,533,1958
1530,1530,2005
833,833,1985
1183,649,1948
1040,1040,1962
2828,1466,2006
1252,1032,1950
1246,1246,1959
904,884,1926
1652,686,1915
1268,832,1949
1913,896,1928
1358,1358,2009
1657,1657,1970
838,816,1918
2060,992,1999
1626,764,2003
1352,663,1969
1376,768,1941
1660,715,1934
1412,616,2006
1469,756,1906
1430,384,2000
1094,1094,1953
1826,1814,2005
924,672,1949
1502,1488,1985
1688,616,1997
1262,1262,2006
1905,1905,2006
2031,1153,1998
1350,1064,1974
1829,941,2003
965,828,1965
924,672,1941
2263,1055,2001
2108,1127,1935
1242,1242,1973
1573,884,1935
2035,884,2001
1232,1232,1984
1964,803,1976
1140,576,1910
894,894,1967
2654,1054,1968
768,768,1972
912,0,1947
2080,1040,1969
1040,1040,1996
1616,1149,1926
1047,641,1885
1803,1134,1957
832,832,1954
894,894,1966
1192,596,1920
1850,1833,2004
899,864,1967
892,864,1966
2291,1214,1910
2138,849,1898
1604,926,1997
2021,868,2006
938,938,1975
1426,912,1918
1920,928,1948
1098,1098,1955
729,270,1935
1252,1252,1959
1584,1584,1967
1506,1498,2008
1709,1698,1999
1092,1092,1957
1746,1746,2006
2287,1304,1953
789,768,1926
1041,1041,1959
1908,967,2002
2267,1010,2002
875,715,1931
1526,1216,1957
1567,1567,1977
2822,1734,2008
1378,689,1928
1738,715,1920
2060,1151,1988
1128,936,1954
1720,840,2004
1050,1050,1956
1114,1114,2003
1053,1008,1958
1593,1593,2001
1214,1214,1967
816,816,1982
1535,0,1979
3112,1360,1918
1919,1079,2006
1097,1097,1994
1750,983,1940
987,483,1972
981,981,1971
1700,1398,1959
816,816,1957
1840,944,2001
2521,942,1973
1002,1002,1970
841,721,1950
996,936,1992
1713,1713,2004
1412,1392,1988
1236,912,1957
1040,1064,1963
1616,1595,1995
1414,1184,1958
1950,975,1997
1086,1086,1954
1576,1324,1923
768,768,1970
1381,1161,1972
2169,1284,2002
720,0,1949
2792,1510,1920
936,936,1953
1181,1138,1972
1689,1689,2007
948,948,1954
1512,756,2000
894,894,1968
1852,900,2009
845,0,1957
774,544,1931
3238,2033,1995
1232,1232,2007
1164,1164,1969
1248,912,1930
1687,747,1948
1960,860,2002
1092,546,1970
894,894,1954
1479,1453,2003
1060,1060,1968
1436,1436,2004
1044,540,1952
1768,880,1914
816,816,1930
1430,384,2000
1867,1617,1955
1500,1356,2006
1100,1100,1960
816,816,1982
1328,1350,1959
2296,1722,2008
864,864,1955
1266,1257,2005
858,858,1971
1710,832,1993
1123,732,1939
1647,953,1999
874,864,1968
1788,1753,2001
1839,1477,1957
1868,780,1976
1712,1626,1959
1229,561,1980
1600,1566,2007
1600,916,1997
1344,896,1936
1126,1126,1977
923,876,1984
616,616,1921
1800,1800,1961
1505,1505,1953
1647,1430,1977
1132,1132,2005
1764,928,1997
1529,0,1945
2447,804,1919
1504,1346,2005
1163,1162,1955
1525,756,2000
935,935,1965
813,813,1930
2008,896,1948
2329,1475,1990
1558,910,1950
1664,832,1976
2110,2110,1968
1786,824,1997
1475,757,1977
1387,811,1954
1708,976,2004
1734,912,1962
2414,954,1900
1908,915,1994
1283,931,1962
1212,1212,2001
1548,952,1925
980,980,1967
1811,1073,1956
1056,1056,1966
1234,1234,2007
1302,630,1970
1406,319,1920
858,858,1982
2324,1175,2005
910,105,1953
1611,780,1964
1560,684,2005
2020,0,1977
1338,1338,2001
1188,1188,1962
1459,1459,2002
2260,1306,1996
1430,1413,2001
996,996,1940
1092,1092,1964
1250,625,2006
1728,864,2004
924,924,1975
1199,1199,1993
948,948,1968
925,925,1965
835,458,1920
2466,1580,2004
2157,924,1966
1060,1040,1976
2633,2633,2001
1048,993,1922
1664,953,2000
784,784,1928
1279,1196,1977
1229,1134,1956
1268,1268,1954
1428,1428,2007
1125,1041,1976
1008,1008,1954
1630,1622,2008
1728,864,2003
1211,952,1968
1040,1040,1959
1707,1686,1981
1632,935,1998
1392,1392,1957
1319,608,1953
1484,742,2005
971,971,1969
1062,1029,1976
980,945,1975
1405,1405,2003
1671,959,2000
1074,1056,1975
2320,0,1948
918,918,1979
1437,1437,1976
1069,1069,1977
1556,727,1968
1894,817,2002
1973,1935,2006
2978,710,1967
848,848,2004
1474,384,1995
1056,1056,1954
902,864,1983
1032,1032,1978
1077,961,1920
1235,1235,1961
1442,910,1990
987,483,1971
1004,975,1977
1006,1006,1959
1716,780,1912
1720,860,2004
960,960,1920
1604,1604,2006
2217,2217,1970
1844,1844,1969
1571,799,1993
1479,1468,1999
1786,1499,1965
1632,1240,1958
1768,866,2007
1096,1096,1969
2093,791,1986
1348,660,1966
1456,728,2005
1600,1484,1957
1700,1682,2003
1593,808,1992
1363,1008,1951
1441,855,1978
1710,1710,2007
2110,948,1994
1479,725,1976
767,723,1998
1496,654,2006
1567,1520,2006
1148,980,1952
1970,1085,2006
2810,1453,1990
2630,1470,1998
2274,1105,1960
1261,1261,1958
1486,1486,1964
773,773,1953
1537,1319,1962
1779,866,1998
1225,950,1959
848,848,2003
1376,780,1937
1471,729,1999
869,440,1923
1458,729,1999
894,864,1974
1718,832,1998
1701,1390,1975
864,864,1972
1855,528,1976
1651,1606,1986
1224,612,2009
928,928,1957
1092,0,1930
1641,728,1925
1416,708,1968
1904,1058,2005
936,936,1956
1556,716,1980
864,864,1951
1654,1654,2002
1416,816,1918
2365,1252,1999
1067,1067,1950
1902,0,1978
1557,1374,2003
1839,1195,1998
